"PREC"	"EVAP"
0.9785	1.03717696226826
0.0515	1.44799301382002
0.0686666666666667	0.972778589688558
0	1.10386531544561
0.0858333333333333	1.2632377338463
0.412	1.6944370485815
0	1.52887079719276
0.0343333333333333	1.05868623721728
0.0858333333333333	0.830466532245616
0	1.57038230943608
0.0343333333333333	1.6989056070712
0	1.38565667475296
0	1.7218104629378
0	1.29977212745619
0.480666666666667	1.29657261699143
0.0343333333333333	1.66471095080286
0.0171666666666667	1.55107888402952
1.133	1.47136061982893
0	1.94011595575326
0	1.82082214637885
0.120166666666667	1.40503179633477
3.89683333333333	0.977394521302369
3.62216666666667	0.999357220822242
3.77666666666667	1.34962851372811
1.09866666666667	1.36149544422351
0	1.32961914677101
0.703833333333333	0.828685713714112
2.472	1.60318846258488
0.515	1.01252708601305
0.171666666666667	1.72052071672571
2.5235	0.807850118435088
3.5535	1.66130549420736
0.618	1.20084797755061
0.206	1.49323056009788
0.0515	1.19541193590944
1.97416666666667	1.56529982359348
0.892666666666667	1.5019552562064
0.824	1.45132082290433
0.103	1.96057594264095
0	1.92553608891586
0.103	1.81796881638908
0.532166666666667	1.85842330335155
7.29583333333333	1.3687983777501
5.27016666666667	1.60270974445374
3.57066666666667	1.22735756701267
1.8025	1.39478358592652
10.815	0.890737892840578
2.43766666666667	1.20603991499585
1.32183333333333	1.4769737978233
2.40333333333333	1.62047929896174
1.442	1.31703667818068
0.0515	1.87068769922574
0.0343333333333333	1.83161194020128
0.137333333333333	1.37091894533789
0.188833333333333	1.49676467411853
0.0343333333333333	1.01944179539848
5.39033333333333	1.23434310241126
4.18866666666667	1.45512064037128
0.0686666666666667	1.12753138139927
0.206	2.13499507376622
0.103	2.13633807608227
0	1.65459647152382
5.47616666666667	1.66048481535694
1.45916666666667	1.74926099163732
2.59216666666667	1.07762188231717
8.06833333333333	2.00670059600437
0.515	1.52092713007092
0	1.8447579153384
0	1.94475230529253
0	1.45522345316161
0.1545	2.32812133451083
0.377666666666667	1.74801440063562
0.806833333333333	1.93835523271804
0	1.51374844715634
0	2.28101931599105
0.412	2.56475476561428
0.291833333333333	2.45668450568583
0.7725	1.39511120796918
0.0343333333333333	2.41488172443666
0.274666666666667	2.19209122248695
0.961333333333333	1.83618276129416
4.944	1.49933088063314
0.0515	2.86375826898202
0	2.7096138995331
1.32183333333333	2.03418095752535
6.489	2.08219109446438
